epsilon,discount_factor,learning_rate,k_game,avg_reward,k_game_195,avg_reward_over_195
0.8,0.8,0.8,500.0,110.588,0.0,0.0
0.8,0.8,0.82,500.0,55.176,32.0,199.84375
0.8,0.8,0.84,500.0,69.54,0.0,0.0
0.8,0.82,0.8,500.0,52.272,0.0,0.0
0.8,0.82,0.82,500.0,54.54,0.0,0.0
0.8,0.82,0.84,500.0,58.68,0.0,0.0
0.8,0.84,0.8,500.0,75.782,1.0,199.0
0.8,0.84,0.82,500.0,129.234,53.0,199.39622641509433
0.8,0.84,0.84,500.0,173.118,221.0,199.8054298642534
0.81,0.81,0.81,500.0,75.708,0.0,0.0
0.81,0.81,0.83,500.0,47.718,0.0,0.0
0.81,0.81,0.85,500.0,56.788,37.0,200.0
0.81,0.83,0.81,500.0,78.256,0.0,0.0
0.81,0.83,0.83,500.0,88.222,11.0,200.0
0.81,0.83,0.85,500.0,75.624,0.0,0.0
0.81,0.85,0.81,500.0,92.774,8.0,198.875
0.81,0.85,0.83,500.0,93.466,0.0,0.0
0.81,0.85,0.85,500.0,53.75,0.0,0.0
0.82,0.8,0.8,500.0,102.778,9.0,200.0
0.82,0.8,0.82,500.0,56.89,0.0,0.0
0.82,0.8,0.84,500.0,78.734,0.0,0.0
0.82,0.82,0.8,500.0,90.012,1.0,200.0
0.82,0.82,0.82,500.0,43.34,0.0,0.0
0.82,0.82,0.84,500.0,126.08,36.0,199.83333333333334
0.82,0.84,0.8,500.0,39.072,0.0,0.0
0.82,0.84,0.82,500.0,37.58,1.0,200.0
0.82,0.84,0.84,500.0,54.632,0.0,0.0
0.83,0.81,0.81,500.0,97.786,0.0,0.0
0.83,0.81,0.83,500.0,139.224,74.0,199.98648648648648
0.83,0.81,0.85,500.0,46.804,1.0,200.0
0.83,0.83,0.81,500.0,63.186,0.0,0.0
0.83,0.83,0.83,500.0,89.918,24.0,199.70833333333334
0.83,0.83,0.85,500.0,88.376,21.0,199.38095238095238
0.83,0.85,0.81,500.0,24.246,0.0,0.0
0.83,0.85,0.83,500.0,62.596,0.0,0.0
0.83,0.85,0.85,500.0,65.99,3.0,199.66666666666666
0.84,0.8,0.8,500.0,95.996,1.0,200.0
0.84,0.8,0.82,500.0,55.726,0.0,0.0
0.84,0.8,0.84,500.0,60.266,0.0,0.0
0.84,0.82,0.8,500.0,63.316,0.0,0.0
0.84,0.82,0.82,500.0,74.948,0.0,0.0
0.84,0.82,0.84,500.0,77.756,0.0,0.0
0.84,0.84,0.8,500.0,69.432,0.0,0.0
0.84,0.84,0.82,500.0,63.158,5.0,200.0
0.84,0.84,0.84,500.0,80.838,3.0,200.0
0.85,0.81,0.81,500.0,77.126,0.0,0.0
0.85,0.81,0.83,500.0,82.82,0.0,0.0
0.85,0.81,0.85,500.0,76.382,2.0,198.5
0.85,0.83,0.81,500.0,83.448,5.0,200.0
0.85,0.83,0.83,500.0,58.598,0.0,0.0
0.85,0.83,0.85,500.0,73.196,0.0,0.0
0.85,0.85,0.81,500.0,55.536,0.0,0.0
0.85,0.85,0.83,500.0,63.214,0.0,0.0
0.85,0.85,0.85,500.0,63.602,0.0,0.0
0.86,0.86,0.86,500.0,59.81,0.0,0.0
0.86,0.86,0.88,500.0,74.428,0.0,0.0
0.86,0.86,0.9,500.0,53.838,0.0,0.0
0.86,0.88,0.86,500.0,72.4,0.0,0.0
0.86,0.88,0.88,500.0,21.416,0.0,0.0
0.86,0.88,0.9,500.0,56.534,0.0,0.0
0.86,0.9,0.86,500.0,85.412,24.0,199.54166666666666
0.86,0.9,0.88,500.0,53.612,0.0,0.0
0.86,0.9,0.9,500.0,30.094,0.0,0.0
0.87,0.87,0.87,500.0,53.924,1.0,200.0
0.87,0.87,0.89,500.0,106.472,45.0,199.77777777777777
0.87,0.87,0.91,500.0,72.308,0.0,0.0
0.87,0.89,0.87,500.0,47.894,0.0,0.0
0.87,0.89,0.89,500.0,50.932,0.0,0.0
0.87,0.89,0.91,500.0,32.492,0.0,0.0
0.87,0.91,0.87,500.0,33.098,0.0,0.0
0.87,0.91,0.89,500.0,85.072,7.0,199.42857142857142
0.87,0.91,0.91,500.0,50.748,0.0,0.0
0.88,0.86,0.86,500.0,73.0,14.0,199.14285714285714
0.88,0.86,0.88,500.0,66.756,0.0,0.0
0.88,0.86,0.9,500.0,42.784,0.0,0.0
0.88,0.88,0.86,500.0,56.656,0.0,0.0
0.88,0.88,0.88,500.0,60.482,1.0,200.0
0.88,0.88,0.9,500.0,123.348,1.0,195.0
0.88,0.9,0.86,500.0,33.5,0.0,0.0
0.88,0.9,0.88,500.0,60.838,0.0,0.0
0.88,0.9,0.9,500.0,94.964,1.0,195.0
0.89,0.87,0.87,500.0,72.19,0.0,0.0
0.89,0.87,0.89,500.0,56.498,0.0,0.0
0.89,0.87,0.91,500.0,64.768,0.0,0.0
0.89,0.89,0.87,500.0,102.712,0.0,0.0
0.89,0.89,0.89,500.0,66.644,3.0,200.0
0.89,0.89,0.91,500.0,33.21,0.0,0.0
0.89,0.91,0.87,500.0,59.856,0.0,0.0
0.89,0.91,0.89,500.0,85.864,14.0,199.92857142857142
0.89,0.91,0.91,500.0,55.85,0.0,0.0
0.9,0.86,0.86,500.0,80.184,0.0,0.0
0.9,0.86,0.88,500.0,45.224,0.0,0.0
0.9,0.86,0.9,500.0,62.228,0.0,0.0
0.9,0.88,0.86,500.0,101.498,40.0,199.825
0.9,0.88,0.88,500.0,74.874,0.0,0.0
0.9,0.88,0.9,500.0,58.706,0.0,0.0
0.9,0.9,0.86,500.0,34.986,0.0,0.0
0.9,0.9,0.88,500.0,57.23,5.0,198.8
0.9,0.9,0.9,500.0,43.198,0.0,0.0
0.9,0.9,0.92,500.0,61.704,0.0,0.0
0.9,0.9,0.94,500.0,43.34,0.0,0.0
0.9,0.92,0.9,500.0,28.66,0.0,0.0
0.9,0.92,0.92,500.0,64.776,0.0,0.0
0.9,0.92,0.94,500.0,25.844,0.0,0.0
0.9,0.94,0.9,500.0,45.188,0.0,0.0
0.9,0.94,0.92,500.0,51.382,1.0,200.0
0.9,0.94,0.94,500.0,56.986,0.0,0.0
0.91,0.87,0.87,500.0,96.312,0.0,0.0
0.91,0.87,0.89,500.0,57.016,0.0,0.0
0.91,0.87,0.91,500.0,40.926,0.0,0.0
0.91,0.89,0.87,500.0,119.686,81.0,199.7037037037037
0.91,0.89,0.89,500.0,74.894,9.0,199.88888888888889
0.91,0.89,0.91,500.0,54.572,0.0,0.0
0.91,0.91,0.87,500.0,57.19,0.0,0.0
0.91,0.91,0.89,500.0,68.76,0.0,0.0
0.91,0.91,0.91,500.0,55.726,3.0,198.33333333333334
